"","Community_1","Community_2","Community_3"
"218","Species_1","Species_1","Species_7"
"219","Species_1","Species_1","Species_7"
"220","Species_1","Species_1","Species_7"
"221","Species_1","Species_1","Species_10"
"222","Species_1","Species_1","Species_6"
"223","Species_1","Species_1","Species_4"
"224","Species_1","Species_1","Species_6"
"225","Species_1","Species_1","Species_3"
"226","Species_1","Species_1","Species_9"
"227","Species_1","Species_1","Species_9"
"228","Species_1","Species_1","Species_1"
"229","Species_1","Species_1","Species_5"
"230","Species_1","Species_1","Species_2"
"231","Species_1","Species_1","Species_8"
"232","Species_1","Species_1","Species_10"
"233","Species_1","Species_1","Species_10"
"234","Species_1","Species_1","Species_9"
"235","Species_1","Species_1","Species_7"
"236","Species_1","Species_1","Species_5"
"237","Species_1","Species_1","Species_6"
"238","Species_1","Species_1","Species_6"
"239","Species_1","Species_1","Species_9"
"240","Species_1","Species_1","Species_8"
"241","Species_1","Species_1","Species_4"
"242","Species_1","Species_1","Species_4"
"243","Species_1","Species_1","Species_8"
"244","Species_1","Species_1","Species_2"
"245","Species_1","Species_1","Species_1"
"246","Species_1","Species_1","Species_10"
"247","Species_1","Species_1","Species_9"
"248","Species_1","Species_1","Species_5"
"249","Species_1","Species_1","Species_10"
"250","Species_1","Species_1","Species_6"
"251","Species_1","Species_1","Species_7"
"252","Species_1","Species_1","Species_8"
"253","Species_1","Species_1","Species_2"
"254","Species_1","Species_1","Species_7"
"255","Species_1","Species_1","Species_9"
"256","Species_1","Species_1","Species_8"
"257","Species_1","Species_1","Species_7"
"258","Species_1","Species_1","Species_6"
"259","Species_1","Species_1","Species_8"
"260","Species_1","Species_1","Species_4"
"261","Species_1","Species_1","Species_9"
"262","Species_1","Species_1","Species_7"
"263","Species_1","Species_1","Species_2"
"264","Species_1","Species_1","Species_1"
"265","Species_1","Species_1","Species_8"
"266","Species_1","Species_1","Species_8"
"267","Species_1","Species_1","Species_4"
"268","Species_1","Species_1","Species_10"
"269","Species_1","Species_1","Species_10"
"270","Species_1","Species_1","Species_6"
"271","Species_1","Species_1","Species_4"
"272","Species_1","Species_1","Species_1"
"273","Species_1","Species_1","Species_4"
"274","Species_1","Species_1","Species_9"
"275","Species_1","Species_1","Species_10"
"276","Species_1","Species_1","Species_3"
"277","Species_1","Species_1","Species_8"
"278","Species_1","Species_1","Species_4"
"279","Species_1","Species_1","Species_2"
"280","Species_1","Species_1","Species_10"
"281","Species_1","Species_1","Species_5"
"282","Species_1","Species_1","Species_1"
"283","Species_1","Species_1","Species_8"
"284","Species_1","Species_1","Species_10"
"285","Species_1","Species_1","Species_3"
"286","Species_1","Species_1","Species_10"
"287","Species_1","Species_1","Species_4"
"288","Species_1","Species_1","Species_3"
"289","Species_1","Species_1","Species_8"
"290","Species_1","Species_1","Species_1"
"291","Species_1","Species_1","Species_3"
"292","Species_1","Species_1","Species_2"
"293","Species_1","Species_1","Species_5"
"294","Species_1","Species_1","Species_5"
"295","Species_1","Species_1","Species_9"
"296","Species_1","Species_1","Species_8"
"297","Species_1","Species_1","Species_8"
"298","Species_1","Species_1","Species_5"
"299","Species_1","Species_1","Species_1"
"300","Species_1","Species_1","Species_10"
"301","Species_1","Species_1","Species_5"
"302","Species_1","Species_1","Species_4"
"303","Species_1","Species_1","Species_8"
"304","Species_1","Species_1","Species_5"
"305","Species_1","Species_1","Species_4"
"306","Species_1","Species_1","Species_2"
"307","Species_1","Species_1","Species_7"
"308","Species_1","Species_1","Species_9"
"309","Species_1","Species_1","Species_7"
"310","Species_1","Species_1","Species_9"
"311","Species_1","Species_1","Species_10"
"312","Species_1","Species_1","Species_10"
"313","Species_1","Species_1","Species_5"
"314","Species_1","Species_1","Species_2"
"315","Species_1","Species_1","Species_8"
"316","Species_1","Species_1","Species_3"
"317","Species_1","Species_1","Species_7"
"318","Species_1","Species_1","Species_8"
"319","Species_1","Species_1","Species_3"
"320","Species_1","Species_1","Species_2"
"321","Species_1","Species_1","Species_1"
"322","Species_1","Species_1","Species_6"
"323","Species_1","Species_1","Species_5"
"324","Species_1","Species_1","Species_8"
"325","Species_1","Species_1","Species_3"
"326","Species_1","Species_1","Species_10"
"327","Species_1","Species_1","Species_3"
"328","Species_1","Species_1","Species_4"
"329","Species_1","Species_1","Species_3"
"330","Species_1","Species_1","Species_5"
"331","Species_1","Species_1","Species_2"
"332","Species_1","Species_1","Species_2"
"333","Species_1","Species_1","Species_2"
"334","Species_1","Species_1","Species_9"
"335","Species_1","Species_1","Species_3"
"336","Species_1","Species_1","Species_5"
"337","Species_1","Species_1","Species_5"
"338","Species_1","Species_1","Species_6"
"339","Species_1","Species_1","Species_1"
"340","Species_1","Species_1","Species_4"
"341","Species_1","Species_1","Species_8"
"342","Species_1","Species_1","Species_2"
"343","Species_1","Species_1","Species_3"
"344","Species_1","Species_1","Species_7"
"345","Species_1","Species_1","Species_7"
"346","Species_1","Species_1","Species_1"
"347","Species_1","Species_1","Species_3"
"348","Species_1","Species_1","Species_2"
"349","Species_1","Species_1","Species_1"
"350","Species_1","Species_1","Species_8"
"351","Species_1","Species_1","Species_1"
"352","Species_1","Species_1","Species_9"
"353","Species_1","Species_1","Species_3"
"354","Species_1","Species_1","Species_2"
"355","Species_1","Species_1","Species_8"
"356","Species_1","Species_1","Species_7"
"357","Species_1","Species_1","Species_2"
"358","Species_1","Species_1","Species_10"
"359","Species_1","Species_1","Species_4"
"360","Species_1","Species_1","Species_2"
"361","Species_1","Species_1","Species_5"
"362","Species_1","Species_1","Species_3"
"363","Species_1","Species_1","Species_5"
"364","Species_1","Species_1","Species_9"
"365","Species_1","Species_1","Species_6"
"366","Species_1","Species_1","Species_10"
"367","Species_1","Species_1","Species_7"
"368","Species_1","Species_1","Species_7"
"369","Species_1","Species_1","Species_10"
"370","Species_1","Species_1","Species_8"
"371","Species_1","Species_1","Species_2"
"372","Species_1","Species_1","Species_10"
"373","Species_1","Species_1","Species_2"
"374","Species_1","Species_1","Species_4"
"375","Species_1","Species_1","Species_2"
"376","Species_1","Species_1","Species_10"
"377","Species_1","Species_1","Species_5"
"378","Species_1","Species_1","Species_7"
"379","Species_1","Species_1","Species_5"
"380","Species_1","Species_1","Species_4"
"381","Species_1","Species_1","Species_9"
"382","Species_1","Species_1","Species_1"
"383","Species_1","Species_1","Species_2"
"384","Species_1","Species_1","Species_3"
"385","Species_1","Species_1","Species_3"
"386","Species_1","Species_1","Species_7"
"387","Species_1","Species_1","Species_4"
"388","Species_1","Species_1","Species_7"
"389","Species_1","Species_1","Species_6"
"390","Species_1","Species_1","Species_2"
"391","Species_1","Species_1","Species_4"
"392","Species_1","Species_1","Species_8"
"393","Species_1","Species_1","Species_6"
"394","Species_1","Species_1","Species_5"
"395","Species_1","Species_1","Species_5"
"396","Species_1","Species_1","Species_1"
"397","Species_1","Species_1","Species_2"
"398","Species_1","Species_1","Species_7"
"399","Species_1","Species_1","Species_3"
"400","Species_1","Species_1","Species_1"
"401","Species_1","Species_1","Species_8"
"402","Species_1","Species_1","Species_9"
"403","Species_1","Species_1","Species_2"
"404","Species_1","Species_1","Species_8"
"405","Species_1","Species_1","Species_3"
"406","Species_1","Species_1","Species_3"
"407","Species_1","Species_1","Species_4"
"408","Species_1","Species_1","Species_8"
"409","Species_1","Species_1","Species_8"
"410","Species_1","Species_1","Species_5"
"411","Species_1","Species_1","Species_9"
"412","Species_1","Species_1","Species_1"
"413","Species_1","Species_1","Species_8"
"414","Species_1","Species_1","Species_10"
"415","Species_1","Species_1","Species_6"
"416","Species_1","Species_1","Species_3"
"417","Species_1","Species_1","Species_7"
"418","Species_1","Species_1","Species_2"
"419","Species_1","Species_1","Species_4"
"420","Species_1","Species_1","Species_5"
"421","Species_1","Species_1","Species_6"
"422","Species_1","Species_1","Species_4"
"423","Species_1","Species_1","Species_3"
"424","Species_1","Species_1","Species_1"
"425","Species_1","Species_1","Species_9"
"426","Species_1","Species_1","Species_9"
"427","Species_1","Species_1","Species_9"
"428","Species_1","Species_1","Species_9"
"429","Species_1","Species_1","Species_8"
"430","Species_1","Species_1","Species_4"
"431","Species_1","Species_1","Species_5"
"432","Species_1","Species_1","Species_6"
"433","Species_1","Species_1","Species_4"
"434","Species_1","Species_1","Species_4"
"435","Species_1","Species_1","Species_3"
"436","Species_1","Species_1","Species_7"
"437","Species_1","Species_1","Species_4"
"438","Species_1","Species_1","Species_6"
"439","Species_1","Species_1","Species_8"
"440","Species_1","Species_1","Species_10"
"441","Species_1","Species_1","Species_7"
"442","Species_1","Species_1","Species_2"
"443","Species_1","Species_1","Species_1"
"444","Species_1","Species_1","Species_9"
"445","Species_1","Species_1","Species_10"
"446","Species_1","Species_1","Species_5"
"447","Species_1","Species_1","Species_3"
"448","Species_1","Species_1","Species_8"
"449","Species_1","Species_1","Species_9"
"450","Species_1","Species_1","Species_10"
"451","Species_1","Species_1","Species_8"
"452","Species_1","Species_1","Species_10"
"453","Species_1","Species_1","Species_8"
"454","Species_1","Species_1","Species_5"
"455","Species_1","Species_1","Species_2"
"456","Species_1","Species_1","Species_4"
"457","Species_1","Species_1","Species_7"
"458","Species_1","Species_1","Species_6"
"459","Species_1","Species_1","Species_1"
"460","Species_1","Species_1","Species_7"
"461","Species_1","Species_1","Species_6"
"462","Species_1","Species_1","Species_5"
"463","Species_1","Species_1","Species_4"
"464","Species_1","Species_1","Species_5"
"465","Species_1","Species_1","Species_10"
"466","Species_1","Species_1","Species_5"
"467","Species_1","Species_1","Species_10"
"468","Species_1","Species_1","Species_1"
"469","Species_1","Species_1","Species_2"
"470","Species_1","Species_1","Species_5"
"471","Species_1","Species_1","Species_8"
"472","Species_1","Species_1","Species_5"
"473","Species_1","Species_1","Species_4"
"474","Species_1","Species_1","Species_9"
"475","Species_1","Species_1","Species_7"
"476","Species_1","Species_1","Species_8"
"477","Species_1","Species_1","Species_2"
"478","Species_1","Species_1","Species_1"
"479","Species_1","Species_1","Species_9"
"480","Species_1","Species_1","Species_9"
"481","Species_1","Species_1","Species_4"
"482","Species_1","Species_1","Species_4"
"483","Species_1","Species_1","Species_4"
"484","Species_1","Species_1","Species_2"
"485","Species_1","Species_1","Species_4"
"486","Species_1","Species_1","Species_7"
"487","Species_1","Species_1","Species_8"
"488","Species_1","Species_1","Species_1"
"489","Species_1","Species_1","Species_1"
"490","Species_1","Species_1","Species_3"
"491","Species_1","Species_1","Species_8"
"492","Species_1","Species_1","Species_8"
"493","Species_1","Species_1","Species_6"
"494","Species_1","Species_1","Species_3"
"495","Species_1","Species_1","Species_6"
"496","Species_1","Species_1","Species_7"
"497","Species_1","Species_1","Species_4"
"498","Species_1","Species_1","Species_2"
"499","Species_1","Species_1","Species_7"
"500","Species_1","Species_1","Species_5"
"501","Species_1","Species_1","Species_10"
"502","Species_1","Species_1","Species_1"
"503","Species_1","Species_1","Species_5"
"504","Species_1","Species_1","Species_5"
"505","Species_1","Species_1","Species_8"
"506","Species_1","Species_1","Species_6"
"507","Species_1","Species_1","Species_8"
"508","Species_1","Species_1","Species_10"
"509","Species_1","Species_1","Species_1"
"510","Species_1","Species_1","Species_9"
"511","Species_1","Species_1","Species_4"
"512","Species_1","Species_1","Species_8"
"513","Species_1","Species_1","Species_4"
"514","Species_1","Species_1","Species_10"
"515","Species_1","Species_1","Species_6"
"516","Species_1","Species_1","Species_10"
"517","Species_1","Species_1","Species_2"
"518","Species_1","Species_1","Species_6"
"519","Species_1","Species_1","Species_7"
"520","Species_1","Species_1","Species_7"
"521","Species_1","Species_1","Species_9"
"522","Species_1","Species_1","Species_6"
"523","Species_1","Species_1","Species_9"
"524","Species_1","Species_1","Species_2"
"525","Species_1","Species_1","Species_2"
"526","Species_1","Species_1","Species_3"
"527","Species_1","Species_1","Species_5"
"528","Species_1","Species_1","Species_9"
"529","Species_1","Species_1","Species_9"
"530","Species_1","Species_1","Species_6"
"531","Species_1","Species_1","Species_9"
"532","Species_1","Species_1","Species_3"
"533","Species_1","Species_1","Species_3"
"534","Species_1","Species_1","Species_7"
"535","Species_1","Species_1","Species_1"
"536","Species_1","Species_1","Species_3"
"537","Species_1","Species_1","Species_6"
"538","Species_1","Species_1","Species_7"
"539","Species_1","Species_1","Species_6"
"540","Species_1","Species_1","Species_3"
"541","Species_1","Species_1","Species_10"
"542","Species_1","Species_1","Species_2"
"543","Species_1","Species_1","Species_3"
"544","Species_1","Species_1","Species_7"
"545","Species_1","Species_1","Species_1"
"546","Species_1","Species_1","Species_2"
"547","Species_1","Species_1","Species_8"
"548","Species_1","Species_1","Species_9"
"549","Species_1","Species_1","Species_9"
"550","Species_1","Species_1","Species_9"
"551","Species_1","Species_1","Species_6"
"552","Species_1","Species_1","Species_1"
"553","Species_1","Species_1","Species_9"
"554","Species_1","Species_1","Species_6"
"555","Species_1","Species_1","Species_5"
"556","Species_1","Species_1","Species_7"
"557","Species_1","Species_1","Species_7"
"558","Species_1","Species_1","Species_9"
"559","Species_1","Species_1","Species_9"
"560","Species_1","Species_1","Species_6"
"561","Species_1","Species_1","Species_1"
"562","Species_1","Species_1","Species_5"
"563","Species_1","Species_1","Species_2"
"564","Species_1","Species_1","Species_4"
"565","Species_1","Species_1","Species_1"
"566","Species_1","Species_1","Species_8"
"567","Species_1","Species_1","Species_9"
"568","Species_1","Species_1","Species_7"
"569","Species_1","Species_1","Species_8"
"570","Species_1","Species_1","Species_3"
"571","Species_1","Species_1","Species_6"
"572","Species_1","Species_1","Species_1"
"573","Species_1","Species_1","Species_7"
"574","Species_1","Species_1","Species_7"
"575","Species_1","Species_1","Species_9"
"576","Species_1","Species_1","Species_6"
"577","Species_1","Species_1","Species_7"
"578","Species_1","Species_1","Species_9"
"579","Species_1","Species_1","Species_9"
"580","Species_1","Species_1","Species_8"
"581","Species_1","Species_1","Species_1"
"582","Species_1","Species_1","Species_10"
"583","Species_1","Species_1","Species_9"
"584","Species_1","Species_1","Species_7"
"585","Species_1","Species_1","Species_8"
"586","Species_1","Species_1","Species_7"
"587","Species_1","Species_1","Species_6"
"588","Species_1","Species_1","Species_3"
"589","Species_1","Species_1","Species_8"
"590","Species_1","Species_1","Species_2"
"591","Species_1","Species_1","Species_6"
"592","Species_1","Species_1","Species_2"
"593","Species_1","Species_1","Species_8"
"594","Species_1","Species_1","Species_5"
"595","Species_1","Species_1","Species_6"
"596","Species_1","Species_1","Species_10"
"597","Species_1","Species_1","Species_4"
"598","Species_1","Species_1","Species_9"
"599","Species_1","Species_1","Species_5"
"600","Species_1","Species_1","Species_1"
"601","Species_1","Species_1","Species_7"
"602","Species_1","Species_1","Species_10"
"603","Species_1","Species_1","Species_8"
"604","Species_1","Species_1","Species_4"
"605","Species_1","Species_1","Species_2"
"606","Species_1","Species_1","Species_3"
"607","Species_1","Species_1","Species_8"
"608","Species_1","Species_1","Species_7"
"609","Species_1","Species_1","Species_9"
"610","Species_1","Species_1","Species_7"
"611","Species_1","Species_1","Species_5"
"612","Species_1","Species_1","Species_10"
"613","Species_1","Species_1","Species_4"
"614","Species_1","Species_1","Species_5"
"615","Species_1","Species_1","Species_9"
"616","Species_1","Species_1","Species_1"
"617","Species_1","Species_1","Species_10"
"618","Species_1","Species_1","Species_9"
"619","Species_1","Species_1","Species_2"
"620","Species_1","Species_1","Species_4"
"621","Species_1","Species_1","Species_1"
"622","Species_1","Species_1","Species_9"
"623","Species_1","Species_1","Species_5"
"624","Species_1","Species_1","Species_8"
"625","Species_1","Species_1","Species_2"
"626","Species_1","Species_1","Species_4"
"627","Species_1","Species_1","Species_9"
"628","Species_1","Species_1","Species_7"
"629","Species_1","Species_1","Species_10"
"630","Species_1","Species_1","Species_9"
"631","Species_1","Species_1","Species_2"
"632","Species_1","Species_1","Species_1"
"633","Species_1","Species_1","Species_7"
"634","Species_1","Species_1","Species_9"
"635","Species_1","Species_1","Species_7"
"636","Species_1","Species_1","Species_2"
"637","Species_1","Species_1","Species_7"
"638","Species_1","Species_1","Species_3"
"639","Species_1","Species_1","Species_9"
"640","Species_1","Species_1","Species_4"
"641","Species_1","Species_1","Species_6"
"642","Species_1","Species_1","Species_8"
"643","Species_1","Species_1","Species_2"
"644","Species_1","Species_1","Species_10"
"645","Species_1","Species_1","Species_1"
"646","Species_1","Species_1","Species_4"
"647","Species_1","Species_1","Species_6"
"648","Species_1","Species_1","Species_5"
"649","Species_1","Species_1","Species_3"
"650","Species_1","Species_1","Species_6"
"651","Species_1","Species_1","Species_4"
"652","Species_1","Species_1","Species_2"
"653","Species_1","Species_1","Species_1"
"654","Species_1","Species_1","Species_1"
"655","Species_1","Species_1","Species_1"
"656","Species_1","Species_1","Species_2"
"657","Species_1","Species_1","Species_7"
"658","Species_1","Species_1","Species_5"
"659","Species_1","Species_1","Species_4"
"660","Species_1","Species_1","Species_6"
"661","Species_1","Species_1","Species_4"
"662","Species_1","Species_1","Species_5"
"663","Species_1","Species_1","Species_2"
"664","Species_1","Species_1","Species_8"
"665","Species_1","Species_1","Species_9"
"666","Species_1","Species_1","Species_8"
"667","Species_1","Species_1","Species_2"
"668","Species_1","Species_1","Species_1"
"669","Species_1","Species_1","Species_5"
"670","Species_1","Species_1","Species_3"
"671","Species_1","Species_1","Species_5"
"672","Species_1","Species_1","Species_5"
"673","Species_1","Species_1","Species_7"
"674","Species_1","Species_1","Species_6"
"675","Species_1","Species_1","Species_4"
"676","Species_1","Species_1","Species_10"
"677","Species_1","Species_1","Species_5"
"678","Species_1","Species_1","Species_9"
"679","Species_1","Species_1","Species_5"
"680","Species_1","Species_1","Species_9"
"681","Species_1","Species_1","Species_3"
"682","Species_1","Species_1","Species_2"
"683","Species_1","Species_1","Species_6"
"684","Species_1","Species_1","Species_8"
"685","Species_1","Species_1","Species_4"
"686","Species_1","Species_1","Species_2"
"687","Species_1","Species_1","Species_5"
"688","Species_1","Species_1","Species_3"
"689","Species_1","Species_1","Species_5"
"690","Species_1","Species_1","Species_1"
"691","Species_1","Species_1","Species_7"
"692","Species_1","Species_1","Species_7"
"693","Species_1","Species_1","Species_4"
"694","Species_1","Species_1","Species_6"
"695","Species_1","Species_1","Species_10"
"696","Species_1","Species_1","Species_7"
"697","Species_1","Species_1","Species_5"
"698","Species_1","Species_1","Species_4"
"699","Species_1","Species_1","Species_7"
"700","Species_1","Species_1","Species_7"
"701","Species_1","Species_1","Species_7"
"702","Species_1","Species_1","Species_7"
"703","Species_1","Species_1","Species_8"
"704","Species_1","Species_1","Species_2"
"705","Species_1","Species_1","Species_5"
"706","Species_1","Species_1","Species_8"
"707","Species_1","Species_1","Species_10"
"708","Species_1","Species_1","Species_10"
"709","Species_1","Species_1","Species_8"
"710","Species_1","Species_1","Species_7"
"711","Species_1","Species_1","Species_2"
"712","Species_1","Species_1","Species_10"
"713","Species_1","Species_1","Species_10"
"714","Species_1","Species_1","Species_4"
"715","Species_1","Species_1","Species_10"
"716","Species_1","Species_1","Species_3"
"717","Species_1","Species_1","Species_8"
"718","Species_1","Species_1","Species_1"
"719","Species_1","Species_1","Species_4"
"720","Species_1","Species_1","Species_8"
"721","Species_1","Species_1","Species_6"
"722","Species_1","Species_1","Species_5"
"723","Species_1","Species_1","Species_8"
"724","Species_1","Species_1","Species_5"
"725","Species_1","Species_1","Species_10"
"726","Species_1","Species_1","Species_4"
"727","Species_1","Species_1","Species_2"
"728","Species_1","Species_1","Species_1"
"729","Species_1","Species_1","Species_1"
"730","Species_1","Species_1","Species_2"
"731","Species_1","Species_1","Species_10"
"732","Species_1","Species_1","Species_7"
"733","Species_1","Species_1","Species_10"
"734","Species_1","Species_1","Species_8"
